Method,Instructor,NMatched,Percent.Matched,HedgesG,LowerCI,UpperCI,Variance
ISLE,2,12,0.75,0.208388623,-0.236618038,0.653395284,0.182894855
ISLE,4,14,0.933333333,0.893397395,0.501657838,1.285136952,0.170376072
ISLE,5,18,0.5625,0.64511048,0.292073636,0.998147325,0.124127176
ISLE,6,NA,NA,NA,NA,NA,NA
Tutorials,2,12,0.666666667,0.835504587,0.00822222,1.662786955,0.199125651
Tutorials,3,18,0.5,0.48859834,0.143225481,0.833971199,0.121364282
Tutorials,4,27,0.84375,2.186714487,1.43645659,2.936972383,0.124669544
Tutorials,5,44,0.897959184,0.754863811,0.499435826,1.010291796,0.049901576
Tutorials,7,24,0.827586207,0.280252085,0.135696163,0.424808006,0.087847349
Tutorials,8,7,0.636363636,1.009243716,0.262593991,1.755893441,0.382847293
Tutorials,9,NA,NA,NA,NA,NA,NA
SCALEUP,1,NA,NA,NA,NA,NA,NA
SCALEUP,2,NA,NA,NA,NA,NA,NA
SCALEUP,3,104,0.77037037,1.127549636,0.832763977,1.422335294,0.02253328
SCALEUP,4,19,0.826086957,1.103266056,0.581094806,1.625437305,0.128955805
SCALEUP,5,83,0.838383838,0.929422115,0.663428108,1.195416123,0.027055975
SCALEUP,6,47,0.979166667,2.032316634,1.56567482,2.498958448,0.066413588
SCALEUP,7,36,0.857142857,1.066065906,0.657752365,1.474379446,0.065492627